count_nintendo_games,name_column,platform_column,year_game,genre_column,transform_date
0,WII SPORTS,Wii,2006,Sports,2023-08-25
1,SUPER MARIO BROS.,NES,1985,Platform,2023-08-25
2,MARIO KART WII,Wii,2008,Racing,2023-08-25
3,WII SPORTS RESORT,Wii,2009,Sports,2023-08-25
4,POKEMON RED/POKEMON BLUE,GB,1996,Role-Playing,2023-08-25
5,TETRIS,GB,1989,Puzzle,2023-08-25
6,NEW SUPER MARIO BROS.,DS,2006,Platform,2023-08-25
7,WII PLAY,Wii,2006,Misc,2023-08-25
8,NEW SUPER MARIO BROS. WII,Wii,2009,Platform,2023-08-25
9,DUCK HUNT,NES,1984,Shooter,2023-08-25
10,NINTENDOGS,DS,2005,Simulation,2023-08-25
11,MARIO KART DS,DS,2005,Racing,2023-08-25
12,POKEMON GOLD/POKEMON SILVER,GB,1999,Role-Playing,2023-08-25
13,WII FIT,Wii,2007,Sports,2023-08-25
14,WII FIT PLUS,Wii,2009,Sports,2023-08-25
15,SUPER MARIO WORLD,SNES,1990,Platform,2023-08-25
16,BRAIN AGE: TRAIN YOUR BRAIN IN MINUTES A DAY,DS,2005,Misc,2023-08-25
17,POKEMON DIAMOND/POKEMON PEARL,DS,2006,Role-Playing,2023-08-25
18,SUPER MARIO LAND,GB,1989,Platform,2023-08-25
19,SUPER MARIO BROS. 3,NES,1988,Platform,2023-08-25
20,POKEMON RUBY/POKEMON SAPPHIRE,GBA,2002,Role-Playing,2023-08-25
21,POKEMON BLACK/POKEMON WHITE,DS,2010,Role-Playing,2023-08-25
22,BRAIN AGE 2: MORE TRAINING IN MINUTES A DAY,DS,2005,Puzzle,2023-08-25
23,POKÉMON YELLOW: SPECIAL PIKACHU EDITION,GB,1998,Role-Playing,2023-08-25
24,POKEMON X/POKEMON Y,3DS,2013,Role-Playing,2023-08-25
25,SUPER SMASH BROS. BRAWL,Wii,2008,Fighting,2023-08-25
26,ANIMAL CROSSING: WILD WORLD,DS,2005,Simulation,2023-08-25
27,MARIO KART 7,3DS,2011,Racing,2023-08-25
28,POKEMON HEARTGOLD/POKEMON SOULSILVER,DS,2009,Action,2023-08-25
29,SUPER MARIO 64,N64,1996,Platform,2023-08-25
30,SUPER MARIO GALAXY,Wii,2007,Platform,2023-08-25
31,POKEMON OMEGA RUBY/POKEMON ALPHA SAPPHIRE,3DS,2014,Role-Playing,2023-08-25
32,SUPER MARIO LAND 2: 6 GOLDEN COINS,GB,1992,Adventure,2023-08-25
33,SUPER MARIO 3D LAND,3DS,2011,Platform,2023-08-25
34,SUPER MARIO ALL-STARS,SNES,1993,Platform,2023-08-25
35,POKEMON FIRERED/POKEMON LEAFGREEN,GBA,2004,Role-Playing,2023-08-25
36,SUPER MARIO 64,DS,2004,Platform,2023-08-25
37,MARIO KART 64,N64,1996,Racing,2023-08-25
38,NEW SUPER MARIO BROS. 2,3DS,2012,Platform,2023-08-25
39,DONKEY KONG COUNTRY,SNES,1994,Platform,2023-08-25
40,ANIMAL CROSSING: NEW LEAF,3DS,2012,Simulation,2023-08-25
41,MARIO PARTY DS,DS,2007,Misc,2023-08-25
42,SUPER MARIO KART,SNES,1992,Racing,2023-08-25
43,WII PARTY,Wii,2010,Misc,2023-08-25
44,MARIO PARTY 8,Wii,2007,Misc,2023-08-25
45,POKEMON BLACK 2/POKEMON WHITE 2,DS,2012,Role-Playing,2023-08-25
46,GOLDENEYE 007,N64,1997,Shooter,2023-08-25
47,POKÉMON PLATINUM VERSION,DS,2008,Role-Playing,2023-08-25
48,SUPER MARIO GALAXY 2,Wii,2010,Platform,2023-08-25
49,THE LEGEND OF ZELDA: OCARINA OF TIME,N64,1998,Action,2023-08-25
50,SUPER MARIO BROS. 2,NES,1988,Platform,2023-08-25
51,SUPER SMASH BROS. FOR WII U AND 3DS,3DS,2014,Fighting,2023-08-25
52,THE LEGEND OF ZELDA: TWILIGHT PRINCESS,Wii,2006,Action,2023-08-25
53,SUPER SMASH BROS. MELEE,GC,2001,Fighting,2023-08-25
54,MARIO KART 8,WiiU,2014,Racing,2023-08-25
55,MARIO KART: DOUBLE DASH!!,GC,2003,Racing,2023-08-25
